פריט,תאור פריט,מספר ספק,שם מספר ספק,מ.63 הובלות באזר,שם מ.63 הובלות באזר
201863,מגהץ אדים פיליפס GC4860,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201864,מגהץ אדים פיליפס GC4870,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201875,מגהץ קיטור פיליפס GC6405,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201876,מגהץ קיטור פיליפס GC6420,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201877,מגהץ קיטור פיליפס GC6440,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201884,מגהץ קיטור פיליפס GC 8220,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201887,מגהץ קיטור פיליפס GC8560,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201953,ש.אבק ידני פיליפס FC-6140,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
201954,ש.אבק ידני פיליפס FC-6142,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
201957,שואב אבק+מים פיליפסFC6843,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201964,שואב אבק פיליפס FC8134,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201965,שואב אבק פיליפס FC8144,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201966,שואב אבק פיליפס FC8146,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201967,שואב פיליפס FC-8230,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201968,שואב אבק פיליפס FC-8440,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201971,שואב אבק פיליפס FC-8734,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201972,ש.אבק פיליפס FC-8738+חובט,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201974,שואב אבק פיליפס FC8915,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201975,שואב אבק פיליפס 9057/9067,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201976,שואב אבק פיליפס 9078,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201986,שואב אבק פיליפס FC-9170,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201987,שואב אבק פיליפס 9174,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
201988,שואב אבק צקלון 9252פיליפס,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
210120,מגהץ קיטור פיליפס GC7430,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
210842,מגהץ קיטור פיליפס GC9240/9241,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
210843,מגהץ קיטור פיליפס GC9220/9222,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
210844,מגהץ אדים פיליפס GC3720,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211234,שואב אבק פיליפס FC-8450,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211235,שואב אבק פיליפס FC-8455,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211236,שואב אבק פיליפס FC-8761,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211237,שואב אבק פיליפס FC-8764,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211238,שואב אבק פיליפס FC-8767,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211243,מגהץ קיטור פיליפס GC 8340,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
212332,מגהץ אדים פיליפס GC2930 110גרם,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
212333,מגהץ אדים פיליפס GC2710 90גרם,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
213334,שואב אבק רובוטי פיליפס FC8802,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
213645,מגהץ אדים GC4851/32 פיליפס,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
213646,מגהץ אדים GC3569/02 פיליפס,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
214967,מגהץ קיטור פיליפס 8620/02,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
215009,שואב אבק פיליפס FC8474,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
215010,שואב אבק פיליפס FC8470 ,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
215011,שואב אבק פיליפס FC8634 ,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
215012,שואב אבק פיליפס FC8632,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
215013,מגהץ פיליפס GC5050,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
216580,מגהץ אדים פיליפס 1022,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
216581,מגהץ אדים פיליפס GC2040,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
217053,מגהץ אדים פיליפס GC2046,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
218518,שואב אבק פיליפס FC6050 ידני,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
221675,שואב אבק פיליפס FC8645,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
221682,מגהץ אדים פיליפס GC4914,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
221683,מגהץ קיטור פיליפס GC6605,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
222772,שואב אבק פיליפס FC9321,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
222940,שואב אבק פיליפס FC9524 לחיות,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
223571,מגהץ אדים GC4521פיליפס נ.עצמי,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
223808,מגהץ קיטור פיליפס GC7035 BAR,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
223832,קרש גיהוץ פיליפר,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
225900,מגהץ קיטור פיליפס GC9620,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
226145,שואב אבק פיליפס FC9326,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
226146,מגהץ אדים פיליפס GC3810,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
226147,מגהץ קיטור פיליפס GC6606,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
226684,מגלח בדים פיליפס GC026,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
227912,שואב נטען ביסל 1047,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
228789,מגהץ אדים פיליפס GC1433,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
229833,מגהץ קיטור פיליפס GC8625 OPTIMAL TEMP,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
229834,מגהץ אדים 2400 וואט פיליפס GC4511,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
229836,מגהץ אדים פיליפס OPTIMAL TEMP GC4910,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
230162,מגהץ קיטור פיליפס GC7610 OPTI TEMP,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
230163,מגהץ אדים פיליפס GC3580 ,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
230763,מגהץ אדים פיליפס 2600 ואט GC3829,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
231031,מגהץ קיטור פיליפס GC9640,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
701954,ש.אבק ידני פיליפס FC-6142,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
701964,עודפים שואב אבק פיליפס FC8134,604060021,אלקטרה סחר עודפים,,
701966,עודפים שואב אבק פיליפס FC8146,604060021,אלקטרה סחר עודפים,,
701967,עודפים שואב פיליפס FC-8230,604060021,אלקטרה סחר עודפים,,
701971,שואב אבק פיליפס FC-8734,604060021,אלקטרה סחר עודפים,,
701976,עודפים שואב אבק פיליפס 9078,604060021,אלקטרה סחר עודפים,,
701987,עודפים שואב אבק פיליפס 9174,604060021,אלקטרה סחר עודפים,,
711234,שואב אבק פיליפס FC-8450,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
711236,עודפים שואב אבק פיליפס FC-8761,604060021,אלקטרה סחר עודפים,,
711237,עודפים שואב אבק פיליפס FC-8764,604060021,אלקטרה סחר עודפים,,
711238,עודפים שואב אבק פיליפס FC-8767,604060021,אלקטרה סחר עודפים,,
713334,שואב אבק רובוטי פיליפס FC8802,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
714967,עודפים מגהץ קיטור פיליפס 8620/02,604060021,אלקטרה סחר עודפים,,
715010,שואב אבק פיליפס FC8470 ,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
715011,שואב אבק פיליפס FC8634 ,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
716580,עודפים מגהץ אדים פיליפס 1022,604060021,אלקטרה סחר עודפים,1,מחסני חשמל בלבד
716581,עודפים מגהץ אדים פיליפס GC2040,604060021,אלקטרה סחר עודפים,1,מחסני חשמל בלבד
717053,עודפים מגהץ אדים פיליפס GC2046,604060021,אלקטרה סחר עודפים,1,מחסני חשמל בלבד
721675,עודפים שואב אבק פיליפס FC8645,604060021,אלקטרה סחר עודפים,1,מחסני חשמל בלבד
721683,עודפים מגהץ קיטור פיליפס GC6605,604060021,אלקטרה סחר עודפים,1,מחסני חשמל בלבד
727912,עודפים שואב נטען ביסל 1047,604060021,אלקטרה סחר עודפים,,
217940,מגהץ אדים בראון TS535TP,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
217941,מגהץ אדים בראון TS775TP,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
220796,מגהץ אדים בראון 2000W TS515,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
220797,מגהץ אדים בראון 2000W TS545S,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
223152,מגהץ קיטור בראון 2400W IS5022,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",1,מחסני חשמל בלבד
223153,מגהץ קיטור בראון 2400W IS5042,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
223154,מגהץ אדים בראון 2000W TS345,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
227616,מגהץ אדים בראון TS785STP,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
228692,מגהץ קיטור בראון IS-5043,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",1,מחסני חשמל בלבד
229189,מגהץ קיטור בראון IS3022WH 2400W,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
229190,מגהץ קיטור בראון IS3044WH,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
230061,קרש גיהוץ בראון BR-33,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
230656,מגהץ קיטור בראון IS3042,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
232343,מגהץ אדים בראון TS320C,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
218522,מפזר חום כרומקס 150,600060053,"און ליין סחר ושיווק(פ""ת)",,
201978,שואב אבק דייסון DC19-'בר,600060091,"מ.ברוכים ובניו בע""מ",,
201979,שואב אבק דייסון DC24-'ברו,600060091,"מ.ברוכים ובניו בע""מ",,
201981,שואב דיסון אנימל DC27-'בר,600060091,"מ.ברוכים ובניו בע""מ",,
201983,שואב דיסון אנימל DC32-'בר,600060091,"מ.ברוכים ובניו בע""מ",,
201984,שואב אבק דייסון DC33I-'בר,600060091,"מ.ברוכים ובניו בע""מ",,
204273,ש.אבק IRONדייסוןDC19-בנזכ,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
204274,ש.דייסוןDC23 PARQUET-בנזכ,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
204275,ש.אבק דייסון DC24 ב.נ.ז.כ,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
204276,שואב אבק דייסון DC25-בנזכ,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
204277,ש.אבק דייסון DC29 -בנזכ,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
209557,שואב דיסון DC14iאפור-בנזכ,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
209558,ש.אבק דיסון DC14 S/S-בנזכ,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
209560,ש.אבק דיסוןDC25אנימל-בנזכ,600060162,ב.נ.ז.כ. סחר יבוא והפצה,1,מחסני חשמל בלבד
209561,שואב אבק דייסוןבנזכ DC33I,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
209573,ש.אבק דייסוןDC29I'צהוב-בר,600060091,"מ.ברוכים ובניו בע""מ",,
210574,ש.אבק דייסון DC29DB ORIGIN,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
210575,שואב אבק דייסון DC39 כחול,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
210917,"מאוורר דייסון AM01 כחול ""10",600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
210918,"מאוורר דייסון AM01 לבן ""10",600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
210919,"מאוורר דייסון AM01 לבן ""12",600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
210920,מאוורר דייסון AM02 לבן,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
212430,שואב אבק ידני DC35 דייסון,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
212432,ש.אבק DC40 MULTI FLOOR דייסון,600060162,ב.נ.ז.כ. סחר יבוא והפצה,1,מחסני חשמל בלבד
212433,מגבר אויר מחמם דייסוןAM04מקרר,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
213195,הקש מקט 219374,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
214149,ש.אבק דייסון multy floor DC51,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
215028,שואב אבק דייסון DC47  ,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
215858,שואב דייסון DC33 מ.ברוכים,600060091,"מ.ברוכים ובניו בע""מ",,
216260,שואב אבק דייסון DC-59,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
216261,קוד לא פעיל,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
216410,שואב אבק דייסון DC-28C מולטי ,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
216447,שואב אבק דייסון DC52 ANIMAL,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
217017,ש.אבק דייסון ALLERGY בנזכ-DC52,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
217018,שואב אבק דייסון ANIMAL DC51,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
218498,ק.מ-צעצוע שואב אבק דייסון מתנה,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
218513,שואב אבק דייסון 'קלאצ+DC14S/Y,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
218710,מברשת מיני טורבין דייסון,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
218733,שואב אבק דייסון ANIMAL DC23,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
218789,שואב אבק דייסון DC29 אלרג',600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
219223,שואב אבק דייסון DC33 MFLOOR,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
219224,שואב אבק דייסון DC33 ANIMAL,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
219279,שואב אבק ידני דייסון DC34,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
219356,שואב אבק דייסון DC29DB אלרגי,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
219357,הקש מקט 212430,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
219373,שואב אבק דייסון ORIGIN DC39,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
219374,שואב אבק דייסון ANIMAL DC39,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
219582,שואב אבק דיסון DC41 אנימל,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
219610,מגבר אוויר חום דייסון AM04 לבן,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
219654,מגבר אוויר חום דייסון AM04 כחו,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
220489,מגבר אוויר דייסון AM05,600060162,ב.נ.ז.כ. סחר יבוא והפצה,4,ללא
221467,שואב דייסון DC28 EXLUSIVE,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
222874,שואב ALLERGYןוסייד ברוכים-DC52,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
223484,שואב אבק דייסון V6+ לבן,600060162,ב.נ.ז.כ. סחר יבוא והפצה,1,מחסני חשמל בלבד
223485,שואב V6דייסון TOTAL CLEAN אדום,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
223508,מגבר אוויר שולחני דייסון AM06,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
223509,מגבר אוויר ריצפתי דייסון AM07,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
224899,ש.אבק דייסון V6 ANIMAL סגול,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
224900,שואב אבק דייסון DC-45,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
224901,שואב אבק דייסון BALL DC-75BIG,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
227916,מסנן אויר ומאוורר דייסון AM11,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
229056,שואב אבק דייסון V8 absulot,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
229057,שואב אבק דייסון V6 mattrets,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
230092,שואב דייסון CY-22 ANIMAL-PRO,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
230093,שואב דייסון CY-22 PARQUET-PRO,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
230094,שואב דייסוןUP-15 SMALL BALL,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
231626,שואב אבק דייסון DC-28 ORIGIN,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
231627,סט אביזרים לשואב V8 ,600060162,ב.נ.ז.כ. סחר יבוא והפצה,3,שתי רשתות
716447,עודפים שואב אבק דייסון DC52 ANIMAL,600060162,ב.נ.ז.כ. סחר יבוא והפצה,1,מחסני חשמל בלבד
721467,עודפים שואב דייסון DC28 EXLUSIVE,600060162,ב.נ.ז.כ. סחר יבוא והפצה,,
723485,עודפים שואב V6דייסון TOTAL CLEAN אדום,600060162,ב.נ.ז.כ. סחר יבוא והפצה,1,מחסני חשמל בלבד
200159,קרש גיהוץ למגהץ קנווד,600060009,"ברימאג דיגיטל אייג בע""מ",,
200555,מגהץ קנווד SS420,600060009,"ברימאג דיגיטל אייג בע""מ",,
200557,מגהץ קיטור קנווד SS435,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
215550,מגהץ קיטור SS6422 קנווד,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
216167,קיטורית קנווד SC2705,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
216248,קיטורית קנווד SC-4160,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
217835,מגהץ קיטור קנווד SS6310,600060009,"ברימאג דיגיטל אייג בע""מ",,
217997,מגהץ קיטור קנווד SS5577,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
200175,מאוורר גודל ליין ATL21,600060017,"יוסף חיים בע""מ",3,שתי רשתות
200177,מאוורר מגדל ג.ל ATL90 כסף,600060017,"יוסף חיים בע""מ",,
200550,מגהץ קיטור גולד ליין 106,600060017,"יוסף חיים בע""מ",,
200597,מאוורר רוטורי ג.ל 013,600060017,"יוסף חיים בע""מ",3,שתי רשתות
200598,מאורר ג.ליין רוטורי 016,600060017,"יוסף חיים בע""מ",3,שתי רשתות
200599,"מאוורר ATL019 ג.ליין עמוד 20"" ",600060017,"יוסף חיים בע""מ",3,שתי רשתות
200600,מאוורר ג.ליין ATL-045 13ב,600060017,"יוסף חיים בע""מ",3,שתי רשתות
200603,"מאוורר 12"" ג.ליין ATL305",600060017,"יוסף חיים בע""מ",3,שתי רשתות
200604,מצנן אויר בריזרATL488נייד,600060017,"יוסף חיים בע""מ",3,שתי רשתות
200618,מאוורר ג.ליין 906 עמוד+טיימר,600060017,"יוסף חיים בע""מ",3,שתי רשתות
200619,"מאוורר ג.ל 16"" עמוד 912 ברונזה",600060017,"יוסף חיים בע""מ",3,שתי רשתות
200621,מקרן חום 117ג.ליין שולחני,600060017,"יוסף חיים בע""מ",,
200625,מ.חום לאמבט ג.ל/הרמן 130,600060017,"יוסף חיים בע""מ",4,ללא
200626,מפזר חום לאמבט ג.ליין 133,600060017,"יוסף חיים בע""מ",,
200627,ת.חימום ג.ליין ATL155,600060017,"יוסף חיים בע""מ",,
200628,ת.חירום ניידת ג.ל ATL192,600060017,"יוסף חיים בע""מ",,
200629,ת.חירום ניידת ג.ל ATL194,600060017,"יוסף חיים בע""מ",4,ללא
200631,ת.חירום קבועה ג.ליין 198,600060017,"יוסף חיים בע""מ",,
200632,ת.חירום קבועה ג.ל ATL199,600060017,"יוסף חיים בע""מ",4,ללא
200634,מ.חום עומד גולד ליין 501,600060017,"יוסף חיים בע""מ",4,ללא
200648,רדאטור ג.ליין 12 צ' 920,600060017,"יוסף חיים בע""מ",,
200731,קטלן יתושים ג.ליין ATL735,600060017,"יוסף חיים בע""מ",3,שתי רשתות
202033,מאורר ג.ל 20טורנדו רצפתי,600060017,"יוסף חיים בע""מ",3,שתי רשתות
202067,ת.חימום קוורץ ג.ל ATL1002,600060017,"יוסף חיים בע""מ",4,ללא
202072,רדאטור ג.ליין 7צלעות 2007,600060017,"יוסף חיים בע""מ",4,ללא
202073,רדיאטור גולד ליין 2009 9צ,600060017,"יוסף חיים בע""מ",4,ללא
202074,רדיאטור 11צ גולדליין 2012,600060017,"יוסף חיים בע""מ",4,ללא
202075,רדיאטור ג.ליין 2014 13'צל,600060017,"יוסף חיים בע""מ",4,ללא
202076,רדיאטור ג.ל 2020 9'צ מוגן,600060017,"יוסף חיים בע""מ",,
202086,תנור קליפסו ג.ל ATL2605,600060017,"יוסף חיים בע""מ",4,ללא
202087,תנור חימום ג.ליין ATL2710,600060017,"יוסף חיים בע""מ",4,ללא
202092,תנור חימום 5'ס 2860ג.ליין שחור,600060017,"יוסף חיים בע""מ",4,ללא
202093,קמין דקורטיבי ג.ליין 2905 שחור/ לבן,600060017,"יוסף חיים בע""מ",4,ללא
204308,מפזר חום ג.ליין ע/ש 901,600060017,"יוסף חיים בע""מ",4,ללא
204743,תנור אמבטיה ג.ליין QH1500,600060017,"יוסף חיים בע""מ",4,ללא
204744,מזגנית חימום ג.ל KPT2000,600060017,"יוסף חיים בע""מ",4,ללא
209674,"מאוורר """"20תליה ג.ל 019",600060017,"יוסף חיים בע""מ",3,שתי רשתות
209680,"מאוורר ג.ל 1906W ""16 תליה+שלט",600060017,"יוסף חיים בע""מ",3,שתי רשתות
209681,"מאורר ג.ל 18"" עמוד+טיימר 1906",600060017,"יוסף חיים בע""מ",3,שתי רשתות
209682,"מאורר ג.ל 1906W תליה 16"" ",600060017,"יוסף חיים בע""מ",3,שתי רשתות
209683,"מאורר 1906W18 ג.ליין תליה 18"" ",600060017,"יוסף חיים בע""מ",3,שתי רשתות
209684,"מאוורר ג.ל תעשיתי 20S ""20",600060017,"יוסף חיים בע""מ",3,שתי רשתות
209686,"מאוורר 9"" ג.ליין ATL305A",600060017,"יוסף חיים בע""מ",3,שתי רשתות
209690,"מאורר ג.ל ATL57 30""""עמוד",600060017,"יוסף חיים בע""מ",1,מחסני חשמל בלבד
209691,"מאורר ג.ל ATL57A 30""""תליה",600060017,"יוסף חיים בע""מ",1,מחסני חשמל בלבד
209695,"מאוורר שולחני 16"" ג.ל 906",600060017,"יוסף חיים בע""מ",3,שתי רשתות
209696,מאורר ג.לייןע'+שלט910שחור,600060017,"יוסף חיים בע""מ",,
209697,מאורר ג.ל עמוד+שלט 910 פנינה,600060017,"יוסף חיים בע""מ",,
209698,מאורר ג.לייןע'+שלט910ניקל,600060017,"יוסף חיים בע""מ",,
209699,מאורר ג.לייןע'+שלט910כתום,600060017,"יוסף חיים בע""מ",,
209700,מאורר ג.לייןעמוד+שלט 910 אדום,600060017,"יוסף חיים בע""מ",,
209701,'מאוורר16ע ג.ליין 911שחור,600060017,"יוסף חיים בע""מ",,
209702,"""16מאוורר 911 עמוד ג.ל כסוף ",600060017,"יוסף חיים בע""מ",3,שתי רשתות
209703,מאורר הוריקן שלט+צג ג.ל E92,600060017,"יוסף חיים בע""מ",,
209704,מ.הוריקן+ריח ג.לייןATL92F,600060017,"יוסף חיים בע""מ",,
209705,מאוורר פרימיום ג.ל P92 אדום,600060017,"יוסף חיים בע""מ",,
209706,מאוורר פרימיום ג.ל P92 כסוף,600060017,"יוסף חיים בע""מ",,
209709,מאורר הוריקן ג.ל 92 לבן- קלאסיק,600060017,"יוסף חיים בע""מ",3,שתי רשתות
209713,רדאטור ג.ליין טורבו T2012 12צל,600060017,"יוסף חיים בע""מ",,
209714,רדיאטור ג.ליין 2012+ש.שבת,600060017,"יוסף חיים בע""מ",,
209715,רדיאטור ג.ל 2014T טורבו '14צל,600060017,"יוסף חיים בע""מ",4,ללא
